1,2024-01-13,1,12507,local 2,Bogotá
2,2023-10-20,4,5728,local 1,Bogotá
3,2024-01-16,3,4489,local 3,Santa Marta
4,2024-01-04,7,581,local 2,Medellín
5,2023-11-25,7,12370,local 1,Pereira
6,2023-12-27,3,14923,local 1,Medellín
7,2023-11-22,7,11427,local 1,Bogotá
8,2023-11-10,1,3465,local 2,Medellín
9,2023-10-10,4,5334,local 3,Bogotá
10,2024-01-21,4,11154,local 2,Bogotá
11,2024-01-23,9,10943,local 2,Pereira
12,2023-10-16,2,11101,local 1,Pereira
13,2024-01-31,5,9178,local 2,Bogotá
14,2023-12-15,2,2107,local 3,Pereira
15,2024-02-27,9,7105,local 2,Pereira
16,2024-03-16,9,12899,local 1,Medellín
17,2024-01-10,10,5993,local 1,Santa Marta
18,2023-11-10,8,13033,local 2,Bogotá
19,2024-03-26,2,2746,local 3,Medellín
20,2024-03-17,3,13938,local 2,Medellín
21,2024-03-13,7,6021,local 3,Pereira
22,2024-01-02,2,14060,local 1,Santa Marta
23,2024-01-08,2,6478,local 2,Medellín
24,2024-01-28,4,6413,local 1,Bogotá
25,2024-02-13,8,416,local 1,Bogotá
26,2024-02-22,6,4168,local 3,Medellín
27,2023-12-05,5,12670,local 1,Santa Marta
28,2024-03-21,1,7111,local 3,Medellín
29,2024-02-01,6,10268,local 3,Pereira
30,2023-11-01,6,2433,local 3,Bogotá
31,2023-09-26,4,13766,local 1,Santa Marta
32,2023-12-21,8,3190,local 1,Medellín
33,2023-09-08,8,1997,local 1,Medellín
34,2024-01-09,1,8731,local 1,Medellín
35,2024-01-21,4,4020,local 2,Santa Marta
36,2023-09-10,6,12736,local 3,Medellín
37,2023-12-02,2,3793,local 1,Bogotá
38,2024-03-03,6,12433,local 1,Santa Marta
39,2023-09-16,2,12580,local 3,Pereira
40,2024-02-01,7,7625,local 2,Medellín
41,2023-11-14,8,2182,local 1,Santa Marta
42,2023-12-23,9,2724,local 2,Santa Marta
43,2023-12-22,7,2685,local 1,Bogotá
44,2023-12-30,2,14200,local 2,Medellín
45,2024-01-30,4,9231,local 3,Santa Marta
46,2023-11-05,2,9982,local 3,Bogotá
47,2024-01-04,8,2103,local 3,Santa Marta
48,2023-12-09,4,10667,local 1,Pereira
49,2023-11-11,1,13576,local 1,Medellín
50,2023-10-01,5,698,local 3,Medellín
51,2023-12-23,1,13286,local 1,Santa Marta
52,2023-09-21,1,3133,local 1,Pereira
53,2023-10-09,10,6638,local 2,Bogotá
54,2024-03-07,3,4052,local 2,Santa Marta
55,2023-11-16,3,13605,local 2,Pereira
56,2024-02-08,5,8081,local 3,Santa Marta
57,2023-12-11,3,4984,local 1,Bogotá
58,2024-01-18,1,12522,local 3,Pereira
59,2023-10-16,7,356,local 2,Santa Marta
60,2024-01-26,7,12313,local 3,Medellín
61,2024-03-15,1,11469,local 1,Medellín
62,2024-01-17,9,8372,local 3,Santa Marta
63,2024-02-21,8,13122,local 1,Bogotá
64,2024-01-14,5,1848,local 2,Santa Marta
65,2023-11-20,7,6944,local 3,Pereira
66,2023-10-25,1,8638,local 3,Medellín
67,2024-03-23,6,6121,local 1,Pereira
68,2023-11-19,8,12094,local 2,Bogotá
69,2024-01-31,6,8001,local 1,Pereira
70,2024-01-13,5,11884,local 2,Santa Marta
71,2023-11-10,5,6602,local 2,Pereira
72,2023-11-13,5,1021,local 3,Medellín
73,2023-12-20,7,72,local 2,Medellín
74,2023-12-09,3,2573,local 2,Medellín
75,2023-09-28,7,489,local 2,Bogotá
76,2023-12-03,10,4855,local 3,Santa Marta
77,2024-01-19,5,3956,local 3,Bogotá
78,2024-03-22,7,10683,local 3,Medellín
79,2024-02-21,4,11355,local 3,Medellín
80,2023-09-13,1,2206,local 2,Santa Marta
81,2024-03-24,7,9441,local 2,Santa Marta
82,2024-02-03,9,14279,local 1,Pereira
83,2023-09-29,2,9458,local 1,Santa Marta
84,2023-10-28,10,5935,local 1,Medellín
85,2023-11-12,6,4064,local 3,Medellín
86,2023-11-01,10,6584,local 2,Medellín
87,2023-12-21,9,4780,local 1,Santa Marta
88,2023-11-05,4,1536,local 3,Medellín
89,2023-09-11,10,8982,local 3,Santa Marta
90,2024-02-05,1,11879,local 1,Bogotá
91,2024-03-23,10,3507,local 1,Santa Marta
92,2024-01-04,1,12992,local 2,Medellín
93,2024-02-20,4,14645,local 3,Santa Marta
94,2023-09-09,10,4430,local 1,Medellín
95,2023-10-07,4,4877,local 2,Santa Marta
96,2024-02-11,5,13656,local 2,Medellín
97,2023-12-11,6,11476,local 3,Medellín
98,2023-12-21,2,6746,local 3,Santa Marta
99,2024-02-12,8,9548,local 2,Medellín
100,2024-02-23,4,2579,local 1,Pereira
101,2024-03-14,5,9817,local 1,Medellín
102,2023-12-10,5,6738,local 1,Pereira
103,2023-11-07,9,5704,local 2,Pereira
104,2023-10-21,10,2356,local 2,Bogotá
105,2023-10-23,5,7782,local 2,Bogotá
106,2023-09-09,8,2551,local 1,Bogotá
107,2023-12-25,10,14070,local 2,Pereira
108,2024-01-02,4,14348,local 2,Bogotá
109,2023-12-21,3,12320,local 1,Bogotá
110,2023-09-21,9,8840,local 3,Pereira
111,2023-09-24,8,2479,local 3,Bogotá
112,2023-10-03,3,12629,local 3,Bogotá
113,2024-01-20,9,13137,local 1,Pereira
114,2023-09-20,2,9399,local 3,Bogotá
115,2024-02-06,3,1565,local 2,Santa Marta
116,2024-03-30,6,6580,local 1,Pereira
117,2023-10-19,5,8523,local 2,Pereira
118,2024-02-19,1,7128,local 1,Bogotá
119,2024-02-06,1,4225,local 1,Medellín
120,2023-09-26,8,12006,local 2,Santa Marta
121,2024-02-14,5,3402,local 2,Pereira
122,2024-03-01,2,2700,local 3,Pereira
123,2024-03-25,7,6569,local 2,Santa Marta
124,2023-09-26,6,5805,local 3,Bogotá
125,2023-09-14,5,13222,local 1,Santa Marta
126,2023-12-19,3,13640,local 2,Medellín
127,2023-10-15,10,14200,local 2,Bogotá
128,2024-03-23,5,12932,local 3,Bogotá
129,2023-11-20,10,6110,local 1,Santa Marta
130,2024-02-12,1,8776,local 1,Bogotá
131,2023-10-14,6,13116,local 2,Medellín
132,2024-02-03,8,9032,local 2,Medellín
133,2023-09-10,1,8982,local 2,Medellín
134,2024-01-16,4,11553,local 1,Santa Marta
135,2024-03-01,8,1789,local 3,Medellín
136,2023-09-28,3,2862,local 1,Santa Marta
137,2024-03-15,2,14502,local 2,Santa Marta
138,2023-09-15,8,11674,local 1,Santa Marta
139,2024-03-07,3,7205,local 3,Bogotá
140,2024-01-09,9,8975,local 1,Medellín
141,2023-12-14,1,11851,local 1,Medellín
142,2024-01-13,8,10051,local 3,Bogotá
143,2023-11-23,6,7119,local 2,Pereira
144,2024-03-14,7,7865,local 2,Medellín
145,2023-10-04,10,10622,local 3,Pereira
146,2024-03-30,10,10891,local 1,Medellín
147,2024-01-13,2,10710,local 1,Bogotá
148,2023-11-27,2,11416,local 1,Bogotá
149,2023-11-20,9,10962,local 1,Bogotá
150,2024-01-19,6,3614,local 3,Santa Marta
151,2024-01-25,3,9014,local 2,Pereira
152,2023-10-02,9,28,local 3,Medellín
153,2024-02-12,3,487,local 2,Santa Marta
154,2024-03-04,5,14939,local 1,Bogotá
155,2023-11-09,7,3940,local 1,Pereira
156,2024-01-28,4,4301,local 3,Santa Marta
157,2023-11-26,10,9818,local 3,Pereira
158,2024-02-14,9,1539,local 3,Pereira
159,2023-11-09,3,7801,local 2,Pereira
160,2023-09-16,4,11137,local 1,Pereira
161,2024-01-25,9,12622,local 2,Pereira
162,2023-11-16,2,3466,local 3,Pereira
163,2023-12-12,6,4116,local 1,Pereira
164,2023-11-12,7,7563,local 3,Santa Marta
165,2023-10-02,5,7134,local 2,Bogotá
166,2023-12-06,2,7515,local 1,Santa Marta
167,2024-01-24,3,1886,local 2,Bogotá
168,2023-11-21,10,1996,local 1,Santa Marta
169,2024-01-14,5,12502,local 2,Santa Marta
170,2024-03-27,8,721,local 1,Pereira
171,2023-10-01,8,8451,local 3,Bogotá
172,2023-09-12,3,11177,local 1,Pereira
173,2023-09-13,9,13562,local 3,Santa Marta
174,2023-11-15,1,7622,local 1,Santa Marta
175,2024-02-02,9,13809,local 1,Bogotá
176,2024-02-09,6,2807,local 3,Pereira
177,2023-12-22,3,2883,local 3,Santa Marta
178,2023-10-25,4,5283,local 3,Pereira
179,2023-12-09,4,1713,local 2,Medellín
180,2024-02-09,5,4760,local 2,Santa Marta
181,2023-12-02,4,10949,local 2,Bogotá
182,2024-01-05,9,3717,local 2,Pereira
183,2023-12-28,4,6331,local 1,Bogotá
184,2024-02-25,9,7823,local 3,Medellín
185,2024-03-04,7,7356,local 1,Pereira
186,2024-02-19,7,7827,local 1,Pereira
187,2024-02-07,8,13571,local 3,Santa Marta
188,2024-03-05,2,9446,local 2,Pereira
189,2023-10-26,1,12446,local 2,Santa Marta
190,2024-03-27,7,1424,local 2,Bogotá
191,2023-11-02,3,13662,local 2,Medellín
192,2024-02-28,10,8228,local 1,Santa Marta
193,2023-11-09,7,1594,local 1,Pereira
194,2023-09-24,5,14698,local 3,Medellín
195,2024-02-10,8,6730,local 2,Pereira
196,2023-12-07,8,2942,local 2,Santa Marta
197,2023-10-27,4,7766,local 1,Medellín
198,2023-09-13,8,14056,local 1,Medellín
199,2023-11-13,6,13561,local 2,Bogotá
200,2023-10-02,4,2966,local 3,Santa Marta
201,2023-09-23,4,11860,local 2,Santa Marta
202,2023-12-07,8,14552,local 3,Santa Marta
203,2024-02-09,2,2570,local 2,Medellín
204,2024-02-23,7,185,local 2,Pereira
205,2023-09-13,2,5514,local 1,Bogotá
206,2024-02-23,9,13025,local 1,Pereira
